sequence,device_timestamp_us,host_received_monotonic_ns,width,height,jpeg_bytes,relative_path
285,1975134242,478993484000000,320,240,6466,frames/0000000285.jpg
286,1975206331,478993640000000,320,240,6423,frames/0000000286.jpg
287,1975314258,478993703000000,320,240,6737,frames/0000000287.jpg
288,1975422313,478993781000000,320,240,6861,frames/0000000288.jpg
289,1975530482,478993890000000,320,240,6846,frames/0000000289.jpg
290,1975602517,478994000000000,320,240,6735,frames/0000000290.jpg
291,1975710462,478994125000000,320,240,6637,frames/0000000291.jpg
292,1975818506,478994171000000,320,240,6689,frames/0000000292.jpg
293,1975926660,478994312000000,320,240,6741,frames/0000000293.jpg
294,1976034695,478994390000000,320,240,6903,frames/0000000294.jpg
295,1976106767,478994546000000,320,240,6909,frames/0000000295.jpg
296,1976214703,478994593000000,320,240,7016,frames/0000000296.jpg
297,1976322850,478994734000000,320,240,6986,frames/0000000297.jpg
298,1976430889,478994828000000,320,240,7125,frames/0000000298.jpg
299,1976502943,478994921000000,320,240,7253,frames/0000000299.jpg
300,1976610969,478995031000000,320,240,7448,frames/0000000300.jpg
301,1976719019,478995156000000,320,240,7491,frames/0000000301.jpg
302,1976755125,478995250000000,320,240,7416,frames/0000000302.jpg
303,1976935233,478995343000000,320,240,7351,frames/0000000303.jpg
304,1977007321,478995421000000,320,240,7215,frames/0000000304.jpg
305,1977115229,478995531000000,320,240,7257,frames/0000000305.jpg
306,1977223425,478995593000000,320,240,7054,frames/0000000306.jpg
307,1977331255,478995734000000,320,240,7105,frames/0000000307.jpg
308,1977403405,478995828000000,320,240,7184,frames/0000000308.jpg
309,1977511439,478995953000000,320,240,7232,frames/0000000309.jpg
310,1977547548,478995984000000,320,240,7303,frames/0000000310.jpg
311,1977727537,478996156000000,320,240,7311,frames/0000000311.jpg
312,1977835575,478996250000000,320,240,7356,frames/0000000312.jpg
313,1977907748,478996343000000,320,240,7323,frames/0000000313.jpg
314,1978015691,478996421000000,320,240,7238,frames/0000000314.jpg
315,1978123772,478996546000000,320,240,7297,frames/0000000315.jpg
316,1978231784,478996578000000,320,240,6789,frames/0000000316.jpg
317,1978303878,478996750000000,320,240,6477,frames/0000000317.jpg
318,1978411812,478996859000000,320,240,6360,frames/0000000318.jpg
319,1978519923,478996921000000,320,240,6428,frames/0000000319.jpg
320,1978627914,478996984000000,320,240,6643,frames/0000000320.jpg
321,1978736097,478997078000000,320,240,6800,frames/0000000321.jpg
322,1978808098,478997218000000,320,240,6855,frames/0000000322.jpg
323,1978916044,478997328000000,320,240,7034,frames/0000000323.jpg
324,1979024100,478997359000000,320,240,7118,frames/0000000324.jpg
325,1979132328,478997468000000,320,240,7195,frames/0000000325.jpg
326,1979204480,478997578000000,320,240,7190,frames/0000000326.jpg
327,1979312329,478997750000000,320,240,7226,frames/0000000327.jpg
328,1979420686,478997796000000,320,240,7246,frames/0000000328.jpg
329,1979528530,478997937000000,320,240,7302,frames/0000000329.jpg
330,1979564541,478997984000000,320,240,7258,frames/0000000330.jpg
331,1979708515,478998093000000,320,240,7336,frames/0000000331.jpg
332,1979744613,478998171000000,320,240,7347,frames/0000000332.jpg
333,1979924626,478998312000000,320,240,7304,frames/0000000333.jpg
334,1980032756,478998375000000,320,240,7327,frames/0000000334.jpg
335,1980104818,478998531000000,320,240,7320,frames/0000000335.jpg
336,1980212772,478998609000000,320,240,7198,frames/0000000336.jpg
337,1980320844,478998703000000,320,240,7157,frames/0000000337.jpg
338,1980428912,478998843000000,320,240,7096,frames/0000000338.jpg
339,1980536854,478998875000000,320,240,7144,frames/0000000339.jpg
340,1980609101,478999031000000,320,240,7169,frames/0000000340.jpg
341,1980717018,478999125000000,320,240,7212,frames/0000000341.jpg
342,1980825073,478999187000000,320,240,7252,frames/0000000342.jpg
343,1980933249,478999281000000,320,240,7303,frames/0000000343.jpg
344,1981005286,478999375000000,320,240,7353,frames/0000000344.jpg
345,1981113214,478999531000000,320,240,7285,frames/0000000345.jpg
346,1981221261,478999656000000,320,240,7307,frames/0000000346.jpg
347,1981329330,478999671000000,320,240,7324,frames/0000000347.jpg
348,1981401481,478999765000000,320,240,7268,frames/0000000348.jpg
349,1981509415,478999953000000,320,240,7337,frames/0000000349.jpg
350,1981617469,478999984000000,320,240,7347,frames/0000000350.jpg
351,1981725514,479000140000000,320,240,7375,frames/0000000351.jpg
352,1981833565,479000171000000,320,240,7422,frames/0000000352.jpg
353,1981905712,479000312000000,320,240,7343,frames/0000000353.jpg
354,1981941751,479000437000000,320,240,7256,frames/0000000354.jpg
355,1982121647,479000500000000,320,240,6636,frames/0000000355.jpg
356,1982229811,479000609000000,320,240,6644,frames/0000000356.jpg
357,1982301852,479000671000000,320,240,6766,frames/0000000357.jpg
