device_id,request_id,device_time_us,host_send_monotonic_ns,host_receive_monotonic_ns,host_midpoint_monotonic_ns,round_trip_ns
imu01,i000001,6540524,482833750000000,482833812000000,482833781000000,62000000
cam01,c000001,184599266,482833750000000,482834125000000,482833937500000,375000000
imu01,i000002,6799530,482834000000000,482834015000000,482834007500000,15000000
imu01,i000003,7056523,482834265000000,482834265000000,482834265000000,0
cam01,c000002,185353151,482834390000000,482834984000000,482834687000000,594000000
imu01,i000004,7316530,482834515000000,482834531000000,482834523000000,16000000
imu01,i000005,7556540,482834765000000,482834765000000,482834765000000,0
imu01,i000006,7816529,482835015000000,482835031000000,482835023000000,16000000
cam01,c000003,186038528,482835234000000,482835578000000,482835406000000,344000000
cam01,c000004,186647148,482835843000000,482836218000000,482836030500000,375000000
cam01,c000005,187261055,482836468000000,482836671000000,482836569500000,203000000
imu01,i000007,9816549,482837015000000,482837031000000,482837023000000,16000000
cam01,c000006,189459582,482838671000000,482838921000000,482838796000000,250000000
imu01,i000008,11817529,482839015000000,482839031000000,482839023000000,16000000
cam01,c000007,191849258,482840921000000,482841328000000,482841124500000,407000000
imu01,i000009,13816524,482841015000000,482841031000000,482841023000000,16000000
imu01,i000010,15817529,482843015000000,482843031000000,482843023000000,16000000
cam01,c000008,194122972,482843343000000,482843531000000,482843437000000,188000000
imu01,i000011,17816524,482845015000000,482845031000000,482845023000000,16000000
cam01,c000009,196330550,482845531000000,482845703000000,482845617000000,172000000
imu01,i000012,19816529,482847015000000,482847031000000,482847023000000,16000000
cam01,c000010,198631150,482847718000000,482848078000000,482847898000000,360000000
imu01,i000013,21817524,482849015000000,482849031000000,482849023000000,16000000
cam01,c000011,200827003,482850093000000,482850250000000,482850171500000,157000000
imu01,i000014,23816529,482851015000000,482851031000000,482851023000000,16000000
cam01,c000012,203030320,482852250000000,482852531000000,482852390500000,281000000
imu01,i000015,25817524,482853015000000,482853031000000,482853023000000,16000000
cam01,c000013,205289950,482854531000000,482854687000000,482854609000000,156000000
imu01,i000016,27816529,482855015000000,482855031000000,482855023000000,16000000
cam01,c000014,207393097,482856687000000,482856781000000,482856734000000,94000000
imu01,i000017,29816524,482857015000000,482857031000000,482857023000000,16000000
cam01,c000015,209552281,482858796000000,482859031000000,482858913500000,235000000
imu01,i000018,31816529,482859015000000,482859031000000,482859023000000,16000000
imu01,i000019,33816524,482861015000000,482861031000000,482861023000000,16000000
cam01,c000016,211833738,482861031000000,482861296000000,482861163500000,265000000
imu01,i000020,35817529,482863015000000,482863031000000,482863023000000,16000000
cam01,c000017,214052101,482863296000000,482863453000000,482863374500000,157000000
imu01,i000021,37816524,482865015000000,482865031000000,482865023000000,16000000
cam01,c000018,216187221,482865453000000,482865671000000,482865562000000,218000000
imu01,i000022,39817529,482867015000000,482867031000000,482867023000000,16000000
cam01,c000019,218419910,482867671000000,482867796000000,482867733500000,125000000
imu01,i000023,41817524,482869015000000,482869031000000,482869023000000,16000000
cam01,c000020,220502654,482869796000000,482869906000000,482869851000000,110000000
imu01,i000024,43816541,482871015000000,482871031000000,482871023000000,16000000
cam01,c000021,222773092,482871906000000,482872203000000,482872054500000,297000000
imu01,i000025,45817524,482873015000000,482873031000000,482873023000000,16000000
cam01,c000022,224950060,482874218000000,482874390000000,482874304000000,172000000
imu01,i000026,47817529,482875015000000,482875031000000,482875023000000,16000000
cam01,c000023,227181519,482876406000000,482876562000000,482876484000000,156000000
imu01,i000027,49817524,482877015000000,482877031000000,482877023000000,16000000
cam01,c000024,229417740,482878578000000,482878937000000,482878757500000,359000000
imu01,i000028,51817529,482879015000000,482879031000000,482879023000000,16000000
cam01,c000025,231713941,482880953000000,482881109000000,482881031000000,156000000
imu01,i000029,53817524,482881015000000,482881031000000,482881023000000,16000000
imu01,i000030,55816529,482883015000000,482883031000000,482883023000000,16000000
cam01,c000026,233945691,482883125000000,482883421000000,482883273000000,296000000
imu01,i000031,57816524,482885015000000,482885031000000,482885023000000,16000000
cam01,c000027,236185015,482885421000000,482885656000000,482885538500000,235000000
imu01,i000032,59817529,482887015000000,482887031000000,482887023000000,16000000
cam01,c000028,238489181,482887656000000,482887984000000,482887820000000,328000000
imu01,i000033,61816524,482889015000000,482889031000000,482889023000000,16000000
cam01,c000029,240736506,482889984000000,482890187000000,482890085500000,203000000
imu01,i000034,63816529,482891015000000,482891031000000,482891023000000,16000000
cam01,c000030,242939472,482892203000000,482892359000000,482892281000000,156000000
imu01,i000035,65816524,482893015000000,482893031000000,482893023000000,16000000
