host_received_monotonic_ns,message
486342203000000,# FusionSense timestamped IMU USB stream
486342203000000,"# format=IMU,1,device_id,session_id,seq,t_device_us,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps"
486342218000000,"# configured_hz=50,accel_range_g=2,gyro_range_dps=250"
486342234000000,"# i2c_scan,pins=21|22,addresses=0x68"
486342437000000,# mpu_who_am_i=0x70
486342437000000,# mpu_i2c_address=0x68
486342437000000,# mpu_model=MPU-6500
486342437000000,"# calibration,keep_sensor_stationary,seconds=5"
486347437000000,"# calibration_ok,accel_bias_g=0.00072|-0.00001|0.00080,gyro_bias_dps=-0.5777|0.7837|0.1235"
486347437000000,# acquisition_started
486347453000000,"# session_set,id=fusion_20260817T192552Z"
486347718000000,"# host_capture_start,serial_buffer_aligned=true"
486347734000000,"# SYNC_RESP,i000001,6039530"
486347968000000,"# SYNC_RESP,i000002,6277535"
486348234000000,"# SYNC_RESP,i000003,6536529"
486348468000000,"# SYNC_RESP,i000004,6776534"
486348734000000,"# SYNC_RESP,i000005,7036530"
486348968000000,"# SYNC_RESP,i000006,7276535"
486350968000000,"# SYNC_RESP,i000007,9276530"
486352453000000,"# health,t_ms=10744,samples=250,read_errors_total=0,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
486352968000000,"# SYNC_RESP,i000008,11276535"
486354968000000,"# SYNC_RESP,i000009,13277532"
486357031000000,"# SYNC_RESP,i000010,15343536"
486357437000000,"# health,t_ms=15744,samples=447,read_errors_total=53,read_errors_window=53,missed_slots_total=0,missed_slots_window=0,effective_hz=39.40"
486359046000000,"# SYNC_RESP,i000011,17348541"
486361046000000,"# SYNC_RESP,i000012,19357534"
486362453000000,"# health,t_ms=20744,samples=550,read_errors_total=200,read_errors_window=147,missed_slots_total=0,missed_slots_window=0,effective_hz=20.60"
486363046000000,"# SYNC_RESP,i000013,21356533"
486365046000000,"# SYNC_RESP,i000014,23356534"
486367046000000,"# SYNC_RESP,i000015,25356532"
486367453000000,"# health,t_ms=25744,samples=800,read_errors_total=200,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
486369046000000,"# SYNC_RESP,i000016,27356534"
486371046000000,"# SYNC_RESP,i000017,29356553"
486372453000000,"# health,t_ms=30744,samples=1050,read_errors_total=200,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
486373046000000,"# SYNC_RESP,i000018,31357534"
486375046000000,"# SYNC_RESP,i000019,33356532"
486377046000000,"# SYNC_RESP,i000020,35356535"
486377453000000,"# health,t_ms=35744,samples=1300,read_errors_total=200,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
486379046000000,"# SYNC_RESP,i000021,37357533"
486381046000000,"# SYNC_RESP,i000022,39357535"
486382453000000,"# health,t_ms=40744,samples=1550,read_errors_total=200,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
486383046000000,"# SYNC_RESP,i000023,41357532"
486385046000000,"# SYNC_RESP,i000024,43357534"
486387046000000,"# SYNC_RESP,i000025,45357532"
486387453000000,"# health,t_ms=45744,samples=1800,read_errors_total=200,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
486389046000000,"# SYNC_RESP,i000026,47357534"
486391046000000,"# SYNC_RESP,i000027,49357532"
486392453000000,"# health,t_ms=50744,samples=2050,read_errors_total=200,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
486393046000000,"# SYNC_RESP,i000028,51357534"
486395046000000,"# SYNC_RESP,i000029,53356533"
486397046000000,"# SYNC_RESP,i000030,55356534"
486397453000000,"# health,t_ms=55744,samples=2300,read_errors_total=200,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
486399046000000,"# SYNC_RESP,i000031,57356532"
486401046000000,"# SYNC_RESP,i000032,59357534"
486402453000000,"# health,t_ms=60744,samples=2550,read_errors_total=200,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
486403046000000,"# SYNC_RESP,i000033,61356532"
486405046000000,"# SYNC_RESP,i000034,63357535"
486407046000000,"# SYNC_RESP,i000035,65357532"
486407453000000,"# health,t_ms=65744,samples=2800,read_errors_total=200,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
