host_monotonic_ns,t_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,schema_version,device_id,session_id,sequence,device_timestamp_us,host_capture_monotonic_ns
570168609000000,32871,-0.248,0.025,0.965,0.03,-0.13,0.15,1,imu01,fusion_20260818T184228Z,153,32871679,570168595819153
570168625000000,32891,-0.245,0.028,0.964,-0.06,0.02,0.11,1,imu01,fusion_20260818T184228Z,154,32891677,570168615816495
570168640000000,32911,-0.249,0.022,0.963,-0.06,-0.4,-0.05,1,imu01,fusion_20260818T184228Z,155,32911681,570168635819836
570168671000000,32931,-0.248,0.024,0.97,0.07,-0.01,0.02,1,imu01,fusion_20260818T184228Z,156,32931677,570168655815178
570168687000000,32951,-0.243,0.021,0.965,-0.05,-0.0,0.05,1,imu01,fusion_20260818T184228Z,157,32951681,570168675818519
570168703000000,32971,-0.246,0.025,0.966,0.04,-0.14,0.24,1,imu01,fusion_20260818T184228Z,158,32971677,570168695813860
570168718000000,32991,-0.245,0.025,0.971,-0.13,-0.25,-0.03,1,imu01,fusion_20260818T184228Z,159,32991681,570168715817202
570168750000000,33011,-0.247,0.025,0.968,0.14,-0.04,0.03,1,imu01,fusion_20260818T184228Z,160,33011677,570168735812543
570168765000000,33031,-0.249,0.025,0.969,-0.04,0.08,-0.08,1,imu01,fusion_20260818T184228Z,161,33031681,570168755815884
570168781000000,33051,-0.249,0.026,0.967,-0.01,0.01,-0.05,1,imu01,fusion_20260818T184228Z,162,33051677,570168775811226
570168812000000,33071,-0.246,0.028,0.967,-0.0,-0.23,0.17,1,imu01,fusion_20260818T184228Z,163,33071681,570168795814567
570168828000000,33091,-0.246,0.025,0.964,0.05,-0.13,0.28,1,imu01,fusion_20260818T184228Z,164,33091677,570168815809908
570168843000000,33111,-0.248,0.026,0.965,-0.11,0.14,0.02,1,imu01,fusion_20260818T184228Z,165,33111681,570168835813250
570168859000000,33131,-0.245,0.024,0.967,-0.12,0.26,-0.14,1,imu01,fusion_20260818T184228Z,166,33131677,570168855808591
