device_id,session_id,sequence,device_timestamp_us,host_capture_monotonic_ns,host_received_monotonic_ns,width,height,jpeg_bytes,capture_errors,motion_score,relative_path
cam01,fusion_usb_preflight_20260819,2,2390712,638968439893900,638968468000000,320,240,6511,0,,frames/0000000002.jpg
cam01,fusion_usb_preflight_20260819,3,2498765,638968547766108,638968562000000,320,240,6667,0,0.010561138391494751,frames/0000000003.jpg
cam01,fusion_usb_preflight_20260819,4,2570737,638968619617686,638968671000000,320,240,6735,0,0.010725335218012333,frames/0000000004.jpg
cam01,fusion_usb_preflight_20260819,5,2642787,638968691547133,638968765000000,320,240,6577,0,0.00837447214871645,frames/0000000005.jpg
cam01,fusion_usb_preflight_20260819,6,2750842,638968799421338,638968875000000,320,240,6745,0,0.010032424703240395,frames/0000000006.jpg
cam01,fusion_usb_preflight_20260819,7,2858906,638968907304527,638968968000000,320,240,6688,0,0.0120505690574646,frames/0000000007.jpg
cam01,fusion_usb_preflight_20260819,8,2966944,638969015161760,638969062000000,320,240,6647,0,0.013596591539680958,frames/0000000008.jpg
cam01,fusion_usb_preflight_20260819,9,3075002,638969123038960,638969171000000,320,240,6689,0,0.013601970858871937,frames/0000000009.jpg
cam01,fusion_usb_preflight_20260819,10,3147039,638969194955429,638969265000000,320,240,6807,0,0.01297826413065195,frames/0000000010.jpg
cam01,fusion_usb_preflight_20260819,11,3255091,638969302826638,638969359000000,320,240,6557,0,0.012262578122317791,frames/0000000011.jpg
cam01,fusion_usb_preflight_20260819,12,3363212,638969410766733,638969468000000,320,240,6210,0,0.011784533970057964,frames/0000000012.jpg
cam01,fusion_usb_preflight_20260819,13,3471243,638969518616978,638969562000000,320,240,6413,0,0.011315735056996346,frames/0000000013.jpg
cam01,fusion_usb_preflight_20260819,14,3543238,638969590491517,638969671000000,320,240,6618,0,0.009794356301426888,frames/0000000014.jpg
cam01,fusion_usb_preflight_20260819,15,3651291,638969698363725,638969765000000,320,240,6719,0,0.010348396375775337,frames/0000000015.jpg
cam01,fusion_usb_preflight_20260819,16,3759344,638969806235933,638969875000000,320,240,6732,0,0.010727685876190662,frames/0000000016.jpg
cam01,fusion_usb_preflight_20260819,17,3867400,638969914111136,638969968000000,320,240,6689,0,0.008159194141626358,frames/0000000017.jpg
cam01,fusion_usb_preflight_20260819,18,3975447,638970021977354,638970062000000,320,240,6657,0,0.008040373213589191,frames/0000000018.jpg
cam01,fusion_usb_preflight_20260819,19,4047487,638970093896818,638970171000000,320,240,6739,0,0.00871510710567236,frames/0000000019.jpg
cam01,fusion_usb_preflight_20260819,20,4155540,638970201769026,638970265000000,320,240,6686,0,0.010709984228014946,frames/0000000020.jpg
cam01,fusion_usb_preflight_20260819,21,4263596,638970309644229,638970375000000,320,240,6690,0,0.012201286852359772,frames/0000000021.jpg
cam01,fusion_usb_preflight_20260819,22,4371655,638970417522427,638970468000000,320,240,6627,0,0.009317008778452873,frames/0000000022.jpg
cam01,fusion_usb_preflight_20260819,23,4443685,638970489431908,638970562000000,320,240,6714,0,0.00975709781050682,frames/0000000023.jpg
cam01,fusion_usb_preflight_20260819,24,4551744,638970597310105,638970671000000,320,240,6504,0,0.01164860837161541,frames/0000000024.jpg
