device_id,request_id,device_time_us,host_send_monotonic_ns,host_receive_monotonic_ns,host_midpoint_monotonic_ns,round_trip_ns
imu01,i000001,8838526,638968406000000,638968406000000,638968406000000,0
cam01,frame_0000000002,2390712,638968468000000,638968468000000,638968468000000,0
cam01,frame_0000000003,2498765,638968500000000,638968500000000,638968500000000,0
cam01,frame_0000000004,2570737,638968593000000,638968593000000,638968593000000,0
imu01,i000002,9096530,638968656000000,638968656000000,638968656000000,0
cam01,frame_0000000005,2642787,638968687000000,638968687000000,638968687000000,0
cam01,frame_0000000006,2750842,638968796000000,638968796000000,638968796000000,0
cam01,frame_0000000007,2858906,638968890000000,638968890000000,638968890000000,0
imu01,i000003,9356526,638968921000000,638968921000000,638968921000000,0
cam01,frame_0000000008,2966944,638969000000000,638969000000000,638969000000000,0
cam01,frame_0000000009,3075002,638969093000000,638969093000000,638969093000000,0
imu01,i000004,9616530,638969171000000,638969187000000,638969179000000,16000000
cam01,frame_0000000010,3147039,638969187000000,638969187000000,638969187000000,0
cam01,frame_0000000011,3255091,638969296000000,638969296000000,638969296000000,0
cam01,frame_0000000012,3363212,638969390000000,638969390000000,638969390000000,0
imu01,i000005,9856525,638969421000000,638969421000000,638969421000000,0
cam01,frame_0000000013,3471243,638969500000000,638969500000000,638969500000000,0
cam01,frame_0000000014,3543238,638969593000000,638969593000000,638969593000000,0
imu01,i000006,10116531,638969671000000,638969687000000,638969679000000,16000000
cam01,frame_0000000015,3651291,638969687000000,638969687000000,638969687000000,0
cam01,frame_0000000016,3759344,638969796000000,638969796000000,638969796000000,0
cam01,frame_0000000017,3867400,638969890000000,638969890000000,638969890000000,0
cam01,frame_0000000018,3975447,638970000000000,638970000000000,638970000000000,0
cam01,frame_0000000019,4047487,638970093000000,638970093000000,638970093000000,0
cam01,frame_0000000020,4155540,638970187000000,638970187000000,638970187000000,0
cam01,frame_0000000021,4263596,638970296000000,638970296000000,638970296000000,0
cam01,frame_0000000022,4371655,638970390000000,638970390000000,638970390000000,0
cam01,frame_0000000023,4443685,638970500000000,638970500000000,638970500000000,0
cam01,frame_0000000024,4551744,638970593000000,638970593000000,638970593000000,0
cam01,frame_0000000025,4659795,638970687000000,638970687000000,638970687000000,0
cam01,frame_0000000026,4767841,638970796000000,638970796000000,638970796000000,0
cam01,frame_0000000027,4839886,638970890000000,638970890000000,638970890000000,0
cam01,frame_0000000028,4947939,638971000000000,638971000000000,638971000000000,0
cam01,frame_0000000029,5055992,638971093000000,638971093000000,638971093000000,0
cam01,frame_0000000030,5164051,638971187000000,638971187000000,638971187000000,0
cam01,frame_0000000031,5272105,638971296000000,638971296000000,638971296000000,0
cam01,frame_0000000032,5344135,638971390000000,638971390000000,638971390000000,0
cam01,frame_0000000033,5452190,638971500000000,638971500000000,638971500000000,0
cam01,frame_0000000034,5560246,638971593000000,638971593000000,638971593000000,0
imu01,i000007,12116526,638971671000000,638971687000000,638971679000000,16000000
cam01,frame_0000000035,5668298,638971687000000,638971687000000,638971687000000,0
cam01,frame_0000000036,5740328,638971796000000,638971796000000,638971796000000,0
cam01,frame_0000000037,5848385,638971890000000,638971890000000,638971890000000,0
cam01,frame_0000000038,5956440,638972000000000,638972000000000,638972000000000,0
cam01,frame_0000000039,6064494,638972093000000,638972093000000,638972093000000,0
cam01,frame_0000000040,6172543,638972187000000,638972187000000,638972187000000,0
cam01,frame_0000000041,6244582,638972296000000,638972296000000,638972296000000,0
cam01,frame_0000000042,6352635,638972390000000,638972390000000,638972390000000,0
cam01,frame_0000000043,6460692,638972500000000,638972500000000,638972500000000,0
cam01,frame_0000000044,6568738,638972593000000,638972593000000,638972593000000,0
cam01,frame_0000000045,6676799,638972687000000,638972687000000,638972687000000,0
cam01,frame_0000000046,6748824,638972796000000,638972796000000,638972796000000,0
cam01,frame_0000000047,6856890,638972890000000,638972890000000,638972890000000,0
cam01,frame_0000000048,6964952,638973000000000,638973000000000,638973000000000,0
cam01,frame_0000000049,7036985,638973093000000,638973093000000,638973093000000,0
cam01,frame_0000000050,7145043,638973187000000,638973187000000,638973187000000,0
cam01,frame_0000000051,7253119,638973296000000,638973296000000,638973296000000,0
cam01,frame_0000000052,7361147,638973390000000,638973390000000,638973390000000,0
cam01,frame_0000000053,7469195,638973500000000,638973500000000,638973500000000,0
cam01,frame_0000000054,7541228,638973593000000,638973593000000,638973593000000,0
imu01,i000008,14116531,638973671000000,638973687000000,638973679000000,16000000
cam01,frame_0000000055,7649286,638973687000000,638973687000000,638973687000000,0
cam01,frame_0000000056,7757338,638973796000000,638973796000000,638973796000000,0
cam01,frame_0000000057,7865391,638973890000000,638973890000000,638973890000000,0
cam01,frame_0000000058,7973442,638974000000000,638974000000000,638974000000000,0
cam01,frame_0000000059,8045482,638974093000000,638974093000000,638974093000000,0
cam01,frame_0000000060,8153534,638974187000000,638974187000000,638974187000000,0
cam01,frame_0000000061,8261590,638974296000000,638974296000000,638974296000000,0
cam01,frame_0000000062,8369638,638974390000000,638974390000000,638974390000000,0
cam01,frame_0000000063,8441679,638974500000000,638974500000000,638974500000000,0
cam01,frame_0000000064,8549729,638974593000000,638974593000000,638974593000000,0
cam01,frame_0000000065,8657785,638974687000000,638974687000000,638974687000000,0
cam01,frame_0000000066,8765848,638974796000000,638974796000000,638974796000000,0
cam01,frame_0000000067,8873897,638974890000000,638974890000000,638974890000000,0
cam01,frame_0000000068,8945931,638975000000000,638975000000000,638975000000000,0
cam01,frame_0000000069,9053990,638975093000000,638975093000000,638975093000000,0
cam01,frame_0000000070,9162045,638975187000000,638975187000000,638975187000000,0
cam01,frame_0000000071,9270097,638975296000000,638975296000000,638975296000000,0
cam01,frame_0000000072,9342122,638975390000000,638975390000000,638975390000000,0
cam01,frame_0000000073,9450182,638975500000000,638975500000000,638975500000000,0
cam01,frame_0000000074,9558237,638975593000000,638975593000000,638975593000000,0
imu01,i000009,16116526,638975671000000,638975687000000,638975679000000,16000000
cam01,frame_0000000075,9666290,638975687000000,638975687000000,638975687000000,0
cam01,frame_0000000076,9774346,638975796000000,638975796000000,638975796000000,0
cam01,frame_0000000077,9846383,638975890000000,638975890000000,638975890000000,0
