host_monotonic_ns,t_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,schema_version,device_id,session_id,sequence,device_timestamp_us,host_capture_monotonic_ns
638968421000000,8844,-0.66,-0.182,-0.734,-0.09,0.03,-0.01,1,imu01,fusion_usb_preflight_20260819,154,8844126,638968407657370
638968437000000,8864,-0.665,-0.181,-0.725,0.15,-0.08,0.01,1,imu01,fusion_usb_preflight_20260819,155,8864129,638968427657109
638968453000000,8884,-0.661,-0.177,-0.726,0.2,0.06,-0.2,1,imu01,fusion_usb_preflight_20260819,156,8884129,638968447653848
638968484000000,8904,-0.656,-0.181,-0.728,-0.14,0.17,-0.08,1,imu01,fusion_usb_preflight_20260819,157,8904129,638968467650587
638968500000000,8924,-0.658,-0.18,-0.732,-0.15,0.04,-0.06,1,imu01,fusion_usb_preflight_20260819,158,8924129,638968487647326
638968515000000,8944,-0.659,-0.176,-0.73,-0.25,0.2,0.01,1,imu01,fusion_usb_preflight_20260819,159,8944129,638968507644065
638968531000000,8964,-0.654,-0.183,-0.732,0.17,-0.07,0.08,1,imu01,fusion_usb_preflight_20260819,160,8964129,638968527640804
638968562000000,8984,-0.659,-0.183,-0.737,0.06,0.03,-0.05,1,imu01,fusion_usb_preflight_20260819,161,8984129,638968547637543
638968578000000,9004,-0.658,-0.177,-0.736,-0.04,-0.04,-0.01,1,imu01,fusion_usb_preflight_20260819,162,9004129,638968567634282
638968593000000,9024,-0.66,-0.18,-0.732,-0.05,0.09,0.05,1,imu01,fusion_usb_preflight_20260819,163,9024129,638968587631021
638968625000000,9044,-0.658,-0.18,-0.724,-0.16,-0.08,0.06,1,imu01,fusion_usb_preflight_20260819,164,9044129,638968607627760
638968640000000,9064,-0.661,-0.181,-0.729,0.2,-0.04,-0.09,1,imu01,fusion_usb_preflight_20260819,165,9064129,638968627624499
638968656000000,9084,-0.659,-0.181,-0.73,0.39,-0.12,-0.08,1,imu01,fusion_usb_preflight_20260819,166,9084129,638968647621238
638968671000000,9104,-0.659,-0.18,-0.724,0.17,-0.08,0.04,1,imu01,fusion_usb_preflight_20260819,167,9104129,638968667617977
638968703000000,9124,-0.661,-0.177,-0.734,-0.51,0.12,0.17,1,imu01,fusion_usb_preflight_20260819,168,9124129,638968687614716
638968718000000,9144,-0.656,-0.175,-0.727,0.38,-0.05,-0.1,1,imu01,fusion_usb_preflight_20260819,169,9144129,638968707611455
638968734000000,9164,-0.657,-0.182,-0.731,-0.16,0.07,0.01,1,imu01,fusion_usb_preflight_20260819,170,9164129,638968727608194
638968750000000,9184,-0.657,-0.181,-0.735,0.17,-0.2,0.04,1,imu01,fusion_usb_preflight_20260819,171,9184129,638968747604933
638968781000000,9204,-0.661,-0.179,-0.731,-0.09,0.03,-0.01,1,imu01,fusion_usb_preflight_20260819,172,9204129,638968767601672
