device_id,request_id,device_time_us,host_send_monotonic_ns,host_receive_monotonic_ns,host_midpoint_monotonic_ns,round_trip_ns
imu01,i000001,8858530,639130593000000,639130609000000,639130601000000,16000000
cam01,frame_0000000002,2390752,639130656000000,639130656000000,639130656000000,0
cam01,frame_0000000003,2498753,639130671000000,639130671000000,639130671000000,0
cam01,frame_0000000004,2570796,639130765000000,639130765000000,639130765000000,0
imu01,i000002,9096535,639130843000000,639130843000000,639130843000000,0
cam01,frame_0000000005,2642826,639130875000000,639130875000000,639130875000000,0
cam01,frame_0000000006,2750880,639130968000000,639130968000000,639130968000000,0
cam01,frame_0000000007,2858935,639131078000000,639131078000000,639131078000000,0
imu01,i000003,9356540,639131093000000,639131093000000,639131093000000,0
cam01,frame_0000000008,2966982,639131171000000,639131171000000,639131171000000,0
cam01,frame_0000000009,3075049,639131265000000,639131265000000,639131265000000,0
imu01,i000004,9596549,639131343000000,639131343000000,639131343000000,0
cam01,frame_0000000010,3147073,639131375000000,639131375000000,639131375000000,0
cam01,frame_0000000011,3255130,639131468000000,639131468000000,639131468000000,0
cam01,frame_0000000012,3363187,639131578000000,639131578000000,639131578000000,0
imu01,i000005,9856530,639131593000000,639131609000000,639131601000000,16000000
cam01,frame_0000000013,3471240,639131671000000,639131671000000,639131671000000,0
cam01,frame_0000000014,3543266,639131765000000,639131765000000,639131765000000,0
imu01,i000006,10097535,639131843000000,639131843000000,639131843000000,0
cam01,frame_0000000015,3651331,639131875000000,639131875000000,639131875000000,0
cam01,frame_0000000016,3759386,639131968000000,639131968000000,639131968000000,0
cam01,frame_0000000017,3867440,639132078000000,639132078000000,639132078000000,0
cam01,frame_0000000018,3975488,639132171000000,639132171000000,639132171000000,0
cam01,frame_0000000019,4047529,639132265000000,639132265000000,639132265000000,0
cam01,frame_0000000020,4155582,639132375000000,639132375000000,639132375000000,0
cam01,frame_0000000021,4263635,639132468000000,639132468000000,639132468000000,0
cam01,frame_0000000022,4371687,639132578000000,639132578000000,639132578000000,0
cam01,frame_0000000023,4443730,639132671000000,639132671000000,639132671000000,0
cam01,frame_0000000024,4551820,639132765000000,639132765000000,639132765000000,0
cam01,frame_0000000025,4659841,639132875000000,639132875000000,639132875000000,0
cam01,frame_0000000026,4767885,639132968000000,639132968000000,639132968000000,0
cam01,frame_0000000027,4839929,639133078000000,639133078000000,639133078000000,0
cam01,frame_0000000028,4947978,639133171000000,639133171000000,639133171000000,0
cam01,frame_0000000029,5056037,639133265000000,639133265000000,639133265000000,0
cam01,frame_0000000030,5164082,639133375000000,639133375000000,639133375000000,0
cam01,frame_0000000031,5272142,639133468000000,639133468000000,639133468000000,0
cam01,frame_0000000032,5344173,639133578000000,639133578000000,639133578000000,0
cam01,frame_0000000033,5452229,639133671000000,639133671000000,639133671000000,0
