host_received_monotonic_ns,message
639122250000000,# FusionSense timestamped IMU USB stream
639122265000000,"# format=IMU,1,device_id,session_id,seq,t_device_us,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps"
639122265000000,"# configured_hz=50,accel_range_g=2,gyro_range_dps=250"
639122281000000,"# i2c_scan,pins=21|22,addresses=0x68"
639122484000000,# mpu_who_am_i=0x70
639122484000000,# mpu_i2c_address=0x68
639122484000000,# mpu_model=MPU-6500
639122500000000,"# calibration,keep_sensor_stationary,seconds=5"
639127500000000,"# calibration_ok,accel_bias_g=0.00413|0.00109|0.00457,gyro_bias_dps=-0.7163|0.4534|0.2121"
639127500000000,# acquisition_started
639127500000000,"# session_set,id=fusion_usb_step4_20260819"
639130593000000,"# host_capture_start,serial_buffer_aligned=true"
639130609000000,"# SYNC_RESP,i000001,8858530"
639130843000000,"# SYNC_RESP,i000002,9096535"
639131093000000,"# SYNC_RESP,i000003,9356540"
639131343000000,"# SYNC_RESP,i000004,9596549"
639131609000000,"# SYNC_RESP,i000005,9856530"
639131843000000,"# SYNC_RESP,i000006,10097535"
639132515000000,"# health,t_ms=10744,samples=250,read_errors_total=0,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
639133843000000,"# SYNC_RESP,i000007,12097530"
639135843000000,"# SYNC_RESP,i000008,14097535"
639137515000000,"# health,t_ms=15744,samples=500,read_errors_total=0,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
639137843000000,"# SYNC_RESP,i000009,16097530"
639139843000000,"# SYNC_RESP,i000010,18097535"
639141843000000,"# SYNC_RESP,i000011,20097530"
639142500000000,"# health,t_ms=20744,samples=750,read_errors_total=0,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
639143843000000,"# SYNC_RESP,i000012,22097535"
639145843000000,"# SYNC_RESP,i000013,24097530"
639147515000000,"# health,t_ms=25744,samples=1000,read_errors_total=0,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
639147843000000,"# SYNC_RESP,i000014,26097535"
639149859000000,"# SYNC_RESP,i000015,28117531"
639151859000000,"# SYNC_RESP,i000016,30117537"
639152500000000,"# health,t_ms=30744,samples=1250,read_errors_total=0,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
639153859000000,"# SYNC_RESP,i000017,32117531"
639155859000000,"# SYNC_RESP,i000018,34116536"
639157500000000,"# health,t_ms=35744,samples=1500,read_errors_total=0,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
639157859000000,"# SYNC_RESP,i000019,36117531"
639159859000000,"# SYNC_RESP,i000020,38116536"
639161859000000,"# SYNC_RESP,i000021,40117533"
639162500000000,"# health,t_ms=40744,samples=1750,read_errors_total=0,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
639163859000000,"# SYNC_RESP,i000022,42117537"
639165859000000,"# SYNC_RESP,i000023,44117531"
639167500000000,"# health,t_ms=45744,samples=2000,read_errors_total=0,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
639167859000000,"# SYNC_RESP,i000024,46117537"
639169859000000,"# SYNC_RESP,i000025,48117533"
639171859000000,"# SYNC_RESP,i000026,50117537"
639172500000000,"# health,t_ms=50744,samples=2250,read_errors_total=0,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
639173859000000,"# SYNC_RESP,i000027,52117531"
639175859000000,"# SYNC_RESP,i000028,54116535"
639177500000000,"# health,t_ms=55744,samples=2500,read_errors_total=0,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
639177859000000,"# SYNC_RESP,i000029,56117531"
639179859000000,"# SYNC_RESP,i000030,58116536"
639181859000000,"# SYNC_RESP,i000031,60116533"
639182500000000,"# health,t_ms=60744,samples=2750,read_errors_total=0,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
639183859000000,"# SYNC_RESP,i000032,62116537"
639185859000000,"# SYNC_RESP,i000033,64116531"
639187500000000,"# health,t_ms=65744,samples=3000,read_errors_total=0,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
639187859000000,"# SYNC_RESP,i000034,66117536"
639189859000000,"# SYNC_RESP,i000035,68117531"
