host_monotonic_ns,t_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,schema_version,device_id,session_id,sequence,device_timestamp_us,host_capture_monotonic_ns
639130609000000,8864,-0.664,-0.172,-0.726,0.04,-0.04,0.01,1,imu01,fusion_usb_step4_20260819,155,8864618,639130608710560
639130640000000,8884,-0.662,-0.177,-0.725,-0.05,0.08,0.07,1,imu01,fusion_usb_step4_20260819,156,8884622,639130628713627
639130656000000,8904,-0.664,-0.178,-0.724,0.29,-0.21,-0.14,1,imu01,fusion_usb_step4_20260819,157,8904618,639130648708694
639130671000000,8924,-0.663,-0.172,-0.729,-0.0,-0.03,0.02,1,imu01,fusion_usb_step4_20260819,158,8924622,639130668711760
639130703000000,8944,-0.659,-0.174,-0.73,-0.02,-0.07,-0.1,1,imu01,fusion_usb_step4_20260819,159,8944618,639130688706827
639130718000000,8964,-0.66,-0.176,-0.733,0.08,-0.03,-0.06,1,imu01,fusion_usb_step4_20260819,160,8964622,639130708709893
639130734000000,8984,-0.658,-0.174,-0.735,-0.0,0.08,-0.01,1,imu01,fusion_usb_step4_20260819,161,8984618,639130728704960
639130750000000,9004,-0.662,-0.172,-0.735,-0.14,0.03,0.22,1,imu01,fusion_usb_step4_20260819,162,9004622,639130748708027
639130781000000,9024,-0.663,-0.173,-0.731,-0.09,0.08,0.06,1,imu01,fusion_usb_step4_20260819,163,9024618,639130768703094
639130796000000,9044,-0.66,-0.17,-0.729,0.07,-0.13,-0.02,1,imu01,fusion_usb_step4_20260819,164,9044622,639130788706160
639130812000000,9064,-0.662,-0.177,-0.736,0.07,0.08,-0.02,1,imu01,fusion_usb_step4_20260819,165,9064618,639130808701227
639130843000000,9084,-0.662,-0.174,-0.732,0.13,-0.02,-0.04,1,imu01,fusion_usb_step4_20260819,166,9084622,639130828704293
639130859000000,9104,-0.666,-0.173,-0.729,-0.0,-0.03,0.09,1,imu01,fusion_usb_step4_20260819,167,9104618,639130848699360
639130875000000,9124,-0.662,-0.172,-0.73,0.02,-0.13,0.0,1,imu01,fusion_usb_step4_20260819,168,9124622,639130868702427
639130890000000,9144,-0.661,-0.173,-0.729,0.05,0.14,-0.17,1,imu01,fusion_usb_step4_20260819,169,9144618,639130888697494
639130921000000,9164,-0.658,-0.178,-0.729,-0.03,-0.03,-0.14,1,imu01,fusion_usb_step4_20260819,170,9164622,639130908700560
639130937000000,9184,-0.658,-0.176,-0.725,0.08,-0.08,-0.14,1,imu01,fusion_usb_step4_20260819,171,9184618,639130928695627
639130953000000,9204,-0.66,-0.175,-0.728,0.01,0.06,-0.01,1,imu01,fusion_usb_step4_20260819,172,9204622,639130948698693
639130984000000,9224,-0.658,-0.177,-0.727,-0.12,0.13,0.19,1,imu01,fusion_usb_step4_20260819,173,9224618,639130968693760
639131000000000,9244,-0.663,-0.171,-0.728,0.04,-0.0,0.12,1,imu01,fusion_usb_step4_20260819,174,9244622,639130988696827
