host_monotonic_ns,t_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,schema_version,device_id,session_id,sequence,device_timestamp_us
480124234000000,5764,-0.595,-0.022,-0.802,0.04,-0.16,-0.01,1,imu01,imu_20260817T174209Z,0,5764121
480124250000000,5784,-0.59,-0.023,-0.804,0.08,-0.13,-0.09,1,imu01,imu_20260817T174209Z,1,5784123
480124281000000,5804,-0.596,-0.025,-0.805,0.09,-0.0,-0.13,1,imu01,imu_20260817T174209Z,2,5804120
480124296000000,5824,-0.593,-0.021,-0.803,0.04,0.0,0.04,1,imu01,imu_20260817T174209Z,3,5824123
480124312000000,5844,-0.591,-0.021,-0.805,0.06,-0.04,-0.03,1,imu01,imu_20260817T174209Z,4,5844120
480124328000000,5864,-0.595,-0.022,-0.815,0.06,0.01,-0.01,1,imu01,imu_20260817T174209Z,5,5864123
480124359000000,5884,-0.592,-0.021,-0.81,0.04,0.19,0.14,1,imu01,imu_20260817T174209Z,6,5884120
480124375000000,5904,-0.59,-0.02,-0.805,-0.06,-0.08,0.06,1,imu01,imu_20260817T174209Z,7,5904123
480124390000000,5924,-0.592,-0.023,-0.809,-0.0,-0.11,-0.09,1,imu01,imu_20260817T174209Z,8,5924120
480124421000000,5944,-0.585,-0.023,-0.807,0.09,-0.19,0.04,1,imu01,imu_20260817T174209Z,9,5944123
480124437000000,5964,-0.593,-0.021,-0.803,0.02,0.01,0.1,1,imu01,imu_20260817T174209Z,10,5964120
480124453000000,5984,-0.592,-0.022,-0.803,-0.06,-0.03,-0.05,1,imu01,imu_20260817T174209Z,11,5984123
480124468000000,6004,-0.589,-0.024,-0.805,0.07,-0.11,-0.03,1,imu01,imu_20260817T174209Z,12,6004120
480124500000000,6024,-0.596,-0.024,-0.809,-0.03,-0.0,0.07,1,imu01,imu_20260817T174209Z,13,6024123
480124515000000,6044,-0.595,-0.023,-0.8,0.01,0.28,-0.0,1,imu01,imu_20260817T174209Z,14,6044120
480124531000000,6064,-0.592,-0.022,-0.812,-0.01,-0.03,-0.16,1,imu01,imu_20260817T174209Z,15,6064123
