host_monotonic_ns,t_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
474084875000000,5761,-0.856,-0.025,-0.523,-0.04,-0.06,0.03
474084890000000,5781,-0.852,-0.021,-0.515,0.05,0.07,0.03
474084921000000,5801,-0.853,-0.028,-0.515,0.01,0.11,-0.04
474084937000000,5821,-0.856,-0.027,-0.517,-0.01,-0.12,0.02
474084953000000,5841,-0.857,-0.026,-0.516,0.05,0.07,-0.0
474084984000000,5861,-0.854,-0.024,-0.516,0.08,0.08,-0.0
474085000000000,5881,-0.851,-0.023,-0.514,-0.02,-0.15,-0.07
474085015000000,5901,-0.855,-0.025,-0.519,0.08,-0.21,-0.03
474085031000000,5921,-0.856,-0.029,-0.514,-0.02,-0.02,0.08
474085062000000,5941,-0.859,-0.024,-0.513,0.0,0.01,0.06
474085078000000,5961,-0.857,-0.023,-0.513,-0.01,-0.16,-0.18
474085093000000,5981,-0.857,-0.03,-0.516,0.02,-0.01,-0.08
474085125000000,6001,-0.859,-0.022,-0.522,-0.04,0.05,0.03
474085140000000,6021,-0.859,-0.019,-0.508,-0.05,0.11,0.03
474085156000000,6041,-0.855,-0.027,-0.517,-0.05,-0.05,-0.08
474085171000000,6061,-0.861,-0.03,-0.519,0.01,-0.05,-0.08
474085203000000,6081,-0.855,-0.022,-0.509,0.04,0.14,0.07
474085218000000,6101,-0.857,-0.026,-0.517,-0.04,0.04,-0.02
474085234000000,6121,-0.856,-0.026,-0.515,0.01,-0.07,-0.02
474085250000000,6141,-0.854,-0.022,-0.515,0.0,0.03,0.01
474085281000000,6161,-0.859,-0.022,-0.511,0.02,0.12,0.05
474085296000000,6181,-0.856,-0.023,-0.519,-0.01,-0.12,-0.05
474085312000000,6201,-0.852,-0.021,-0.511,0.04,-0.1,0.01
474085343000000,6221,-0.856,-0.023,-0.519,-0.01,0.03,0.08
474085359000000,6241,-0.857,-0.027,-0.512,-0.01,0.02,-0.01
474085375000000,6261,-0.859,-0.025,-0.521,0.03,-0.09,-0.08
474085390000000,6281,-0.855,-0.022,-0.514,-0.04,-0.25,-0.04
474085421000000,6301,-0.854,-0.022,-0.516,-0.02,0.01,0.05
474085437000000,6321,-0.857,-0.024,-0.516,0.02,-0.05,0.05
474085453000000,6341,-0.859,-0.022,-0.521,0.02,-0.1,-0.15
474085484000000,6361,-0.855,-0.026,-0.513,-0.06,0.01,-0.02
474085500000000,6381,-0.855,-0.023,-0.518,0.02,0.02,0.13
474085515000000,6401,-0.855,-0.027,-0.517,0.03,-0.01,0.09
474085531000000,6421,-0.853,-0.021,-0.518,0.0,-0.07,-0.09
474085562000000,6441,-0.857,-0.029,-0.514,-0.02,-0.06,-0.07
474085578000000,6461,-0.854,-0.027,-0.514,0.02,0.12,0.01
474085593000000,6481,-0.855,-0.023,-0.518,-0.01,-0.04,0.05
474085609000000,6501,-0.855,-0.022,-0.515,0.04,-0.23,0.01
474085640000000,6521,-0.858,-0.027,-0.517,0.04,-0.0,-0.02
474085656000000,6541,-0.857,-0.022,-0.514,0.0,0.13,-0.01
474085671000000,6561,-0.861,-0.025,-0.513,-0.04,0.03,-0.02
474085703000000,6581,-0.854,-0.02,-0.513,-0.01,-0.12,0.03
474085718000000,6601,-0.857,-0.024,-0.516,-0.04,-0.01,0.1
474085734000000,6621,-0.855,-0.025,-0.521,0.0,0.07,-0.02
474085750000000,6641,-0.859,-0.026,-0.512,0.01,-0.08,-0.08
474085781000000,6661,-0.858,-0.031,-0.51,-0.04,-0.08,-0.07
474085796000000,6681,-0.856,-0.026,-0.516,0.05,0.11,0.08
474085812000000,6701,-0.859,-0.027,-0.516,0.05,0.07,0.05
474085843000000,6721,-0.853,-0.024,-0.512,0.02,-0.18,-0.09
474085859000000,6741,-0.854,-0.025,-0.516,0.09,-0.12,-0.14
474085875000000,6761,-0.86,-0.027,-0.518,0.02,0.15,0.02
474085890000000,6781,-0.857,-0.025,-0.517,-0.07,0.02,0.05
474085921000000,6801,-0.853,-0.025,-0.515,-0.02,-0.13,-0.07
474085937000000,6821,-0.854,-0.025,-0.515,-0.06,-0.12,-0.06
474085953000000,6841,-0.857,-0.024,-0.521,0.05,0.17,0.05
474085984000000,6861,-0.857,-0.023,-0.515,0.01,0.04,-0.0
474086000000000,6881,-0.858,-0.025,-0.523,0.0,-0.11,-0.04
474086015000000,6901,-0.858,-0.022,-0.513,-0.05,-0.05,0.03
474086031000000,6921,-0.851,-0.026,-0.517,-0.01,-0.05,-0.02
474086062000000,6941,-0.858,-0.023,-0.508,-0.01,-0.02,-0.08
474086078000000,6961,-0.857,-0.024,-0.517,-0.01,-0.11,-0.05
474086093000000,6981,-0.856,-0.024,-0.512,0.03,0.14,0.05
474086109000000,7001,-0.856,-0.027,-0.518,0.06,0.09,0.01
474086140000000,7021,-0.856,-0.026,-0.518,-0.01,-0.01,-0.09
474086156000000,7041,-0.855,-0.023,-0.52,0.09,-0.12,-0.06
474086171000000,7061,-0.857,-0.023,-0.521,0.03,-0.01,0.09
474086203000000,7081,-0.855,-0.026,-0.515,-0.06,0.02,0.03
474086218000000,7101,-0.856,-0.025,-0.518,-0.04,-0.16,-0.11
474086234000000,7121,-0.855,-0.024,-0.508,0.08,-0.1,-0.1
474086250000000,7141,-0.852,-0.024,-0.51,0.09,0.09,0.13
474086281000000,7161,-0.862,-0.025,-0.514,0.02,0.04,0.05
474086296000000,7181,-0.859,-0.028,-0.522,0.02,-0.15,-0.11
474086312000000,7201,-0.861,-0.023,-0.51,0.03,-0.09,-0.05
474086343000000,7221,-0.859,-0.027,-0.516,-0.01,0.16,0.03
474086359000000,7241,-0.856,-0.022,-0.513,-0.03,-0.0,0.04
474086375000000,7261,-0.859,-0.026,-0.515,-0.04,-0.12,-0.08
474086390000000,7281,-0.854,-0.028,-0.511,-0.01,0.04,-0.01
474086421000000,7301,-0.854,-0.027,-0.52,0.06,0.09,0.04
474086437000000,7321,-0.856,-0.026,-0.525,0.04,-0.02,-0.02
474086453000000,7341,-0.856,-0.025,-0.515,-0.01,-0.12,-0.04
474086468000000,7361,-0.857,-0.023,-0.517,-0.02,0.05,0.05
474086500000000,7381,-0.855,-0.024,-0.52,0.05,0.04,0.03
474086515000000,7401,-0.854,-0.023,-0.517,0.01,-0.18,-0.04
474086531000000,7421,-0.856,-0.026,-0.515,0.05,-0.09,-0.03
474086562000000,7441,-0.856,-0.025,-0.513,0.07,0.04,0.05
474086578000000,7461,-0.855,-0.026,-0.515,-0.03,0.19,-0.04
474086593000000,7481,-0.855,-0.03,-0.512,-0.02,-0.19,-0.12
474086609000000,7501,-0.858,-0.023,-0.521,-0.06,-0.13,-0.05
474086640000000,7521,-0.853,-0.021,-0.515,0.08,0.01,0.06
474086656000000,7541,-0.858,-0.024,-0.518,0.06,0.08,0.01
474086671000000,7561,-0.854,-0.028,-0.523,0.02,-0.14,-0.02
474086703000000,7581,-0.855,-0.024,-0.514,0.03,0.02,-0.05
474086718000000,7601,-0.86,-0.026,-0.514,0.03,0.03,-0.02
474086734000000,7621,-0.852,-0.024,-0.521,0.02,-0.04,0.02
474086750000000,7641,-0.858,-0.021,-0.512,-0.01,-0.13,-0.07
474086781000000,7661,-0.86,-0.026,-0.51,0.04,0.11,-0.0
474086796000000,7681,-0.856,-0.023,-0.516,0.02,0.26,0.03
474086812000000,7701,-0.858,-0.019,-0.513,-0.06,-0.05,0.05
474086843000000,7721,-0.855,-0.027,-0.516,-0.01,-0.02,0.13
474086859000000,7741,-0.854,-0.024,-0.517,-0.04,-0.08,0.05
474086875000000,7761,-0.855,-0.024,-0.525,0.04,0.11,-0.02
474086890000000,7781,-0.857,-0.026,-0.513,0.05,-0.13,-0.12
474086921000000,7801,-0.86,-0.023,-0.52,0.02,-0.16,0.06
474086937000000,7821,-0.858,-0.022,-0.51,-0.01,0.05,0.09
474086953000000,7841,-0.856,-0.02,-0.518,0.02,-0.02,0.08
474086968000000,7861,-0.858,-0.027,-0.523,-0.01,-0.06,-0.02
474087000000000,7881,-0.858,-0.024,-0.525,0.02,0.01,-0.06
474087015000000,7901,-0.852,-0.026,-0.519,0.03,0.1,0.1
474087031000000,7921,-0.858,-0.026,-0.519,0.05,0.07,0.14
474087062000000,7941,-0.856,-0.023,-0.516,0.05,-0.22,-0.05
474087078000000,7961,-0.855,-0.022,-0.515,-0.07,0.04,-0.08
474087093000000,7981,-0.856,-0.023,-0.51,0.05,0.17,0.07
474087109000000,8001,-0.861,-0.025,-0.519,-0.01,-0.01,0.07
474087140000000,8021,-0.855,-0.028,-0.52,0.02,-0.23,-0.05
474087156000000,8041,-0.855,-0.026,-0.513,0.05,0.01,-0.0
474087171000000,8061,-0.856,-0.023,-0.517,0.0,0.11,0.07
